rate,target,prev_decision,next_decision,cpi_diff_year,infl_exp,unem_diff_year,gdp_diff_year
2010-05-01,0.5,1.0,0.0,1.0,1.4986041093810485,3.2,-1.1346164440000006,5.85943781907853
2010-06-01,0.738095238,1.0,1.0,1.0,1.1950190601628723,3.4,-2.0669017689999993,6.836977018929244
2010-07-01,1.238095238,1.0,1.0,1.0,2.2110332995977653,3.25,-2.250575316000001,7.934417452710646
2010-08-01,1.795454545,1.0,1.0,1.0,2.5188978538395213,3.45,-2.3254789890000005,7.485738400771148
2010-09-01,2.2,1.0,1.0,1.0,1.9098747088960275,3.3,-2.1005721279999996,6.992926684250741
2010-10-01,2.6375,1.0,1.0,1.0,2.011784579249388,3.1,-1.9131486420000012,6.970625211730934
2010-11-01,2.869047619,1.0,1.0,1.0,2.626931009001483,3.1,-1.8848313220000001,8.390961375901451
2010-12-01,3.119047619,1.0,1.0,1.0,3.0386739797612257,3.2,-1.4065259169999997,6.920051411822382
2011-01-01,3.25,1.0,1.0,1.0,2.833621885270622,3.55,-1.2162127519999997,7.316299020589782
2011-02-01,3.3375,1.0,1.0,1.0,2.7310958392507487,3.8,-1.087255742,6.142268629848941
2011-03-01,3.717391304,1.0,1.0,1.0,3.4494951169950876,4.045,-1.6794815060000001,11.642660281398383
2011-04-01,4.3,1.0,1.0,1.0,3.2436254629162087,4.0,-1.6249422390000001,6.291585576055557
2011-05-01,4.795454545,1.0,1.0,1.0,3.243625466962248,4.0,-1.7829672739999998,6.810508154444637
2011-06-01,5.130952381,1.0,1.0,0.0,3.4501127212075016,3.7,-1.4438086040000009,5.736510824227282
2011-07-01,5.25,0.0,1.0,0.0,2.9359471484143413,3.5,-0.9578094129999997,4.297341868822067
2011-08-01,5.25,0.0,0.0,0.0,3.2450641067797172,3.2,-0.9216255699999998,4.688419776048435
2011-09-01,5.25,0.0,0.0,0.0,3.347897839286931,3.0,-0.49818751600000066,4.53237680669498
2011-10-01,5.25,0.0,0.0,0.0,3.7608764484559765,3.0,-0.3780057179999998,5.378067253723985
2011-11-01,5.25,0.0,0.0,-1.0,3.9681908982745484,3.0,0.10686289999999943,4.2723465502091456
2011-12-01,5.25,-1.0,0.0,-1.0,4.487512525305224,2.9,-0.3955192219999999,6.92620847232274
2012-01-01,5.102272727,-1.0,-1.0,0.0,4.279162541832866,3.0,-0.5878460419999998,5.955425150371396
2012-02-01,5.0,0.0,-1.0,0.0,4.4873045882102565,3.0,-0.9143965610000002,6.819722653138159
2012-03-01,5.0,0.0,0.0,0.0,3.8653563424104136,3.2,-0.7508136620000005,6.578169015878508
2012-04-01,5.0,0.0,0.0,0.0,3.6582469695092765,3.3,-0.44743756899999987,6.638858146358246
2012-05-01,5.0,0.0,0.0,0.0,3.2452659031647535,3.3,-0.36292406800000077,6.762031693906147
2012-06-01,5.0,0.0,0.0,0.0,2.7300699586380146,3.0,-0.43096320300000013,7.265837651279289
2012-07-01,5.0,0.0,0.0,0.0,2.627442524771389,2.9,-0.8884023599999997,7.649183176830528
2012-08-01,5.0,0.0,0.0,0.0,2.627442524176425,2.9,-0.976220488,7.146966247754381
2012-09-01,5.0,0.0,0.0,0.0,2.933793091360732,3.0,-1.050085781,6.308623965471441
2012-10-01,5.0,0.0,0.0,0.0,3.0362147821659,3.0,-0.7417576600000002,5.813939864577162
2012-11-01,5.0,0.0,0.0,0.0,2.214390521042116,3.0,-0.972189277,6.109448856696301
2012-12-01,5.0,0.0,0.0,0.0,1.6047619488280909,3.0,-0.5899539789999997,4.230354818127762
2013-01-01,5.0,0.0,0.0,0.0,1.7062652198448387,3.0,-0.7343660839999995,5.220294250217843
2013-02-01,5.0,0.0,0.0,0.0,1.4023620329263833,3.0,-0.17361086499999967,3.7795817492139756
2013-03-01,5.0,0.0,0.0,0.0,1.6047619582838273,3.0,-0.3711939879999999,3.5339352655153062
2013-04-01,5.0,0.0,0.0,0.0,0.9957423983152305,3.0,-0.22466425,2.9912366508367465
2013-05-01,5.0,0.0,0.0,0.0,0.9957423983152305,2.9,-0.4006037029999998,2.9004706549014476
2013-06-01,5.0,0.0,0.0,0.0,1.9074391820212848,2.8,-0.5207514999999994,3.2533891998593765
2013-07-01,5.0,0.0,0.0,0.0,2.213161493673847,2.8,-0.7818149600000002,2.903498218488277
2013-08-01,5.0,0.0,0.0,-1.0,2.2131614995498268,2.8,-0.6894663870000004,2.6968657992980782
2013-09-01,5.0,-1.0,0.0,-1.0,1.9089556588190373,2.9,-0.715798704,2.921515923343705
2013-10-01,4.897727273,-1.0,-1.0,-1.0,1.4024499205870453,2.8,-0.7422689049999995,3.1548910233425134
2013-11-01,4.65,-1.0,-1.0,0.0,2.3196580119497674,2.8,-0.49488718399999954,2.940003530374367
2013-12-01,4.5,0.0,-1.0,-1.0,2.9335759602125964,2.8,-0.4429237190000004,1.959204836465565
2014-01-01,4.5,-1.0,0.0,-1.0,2.9335759567046886,2.95,0.11191700599999965,1.348419581175481
2014-02-01,4.4,-1.0,-1.0,-1.0,3.3448989321127662,3.0,-0.17006721000000002,2.927371062662224
2014-03-01,4.107142857,-1.0,-1.0,0.0,3.756631600799993,3.0,0.07029524000000009,2.233651229448891
2014-04-01,4.0,0.0,-1.0,0.0,4.903689840636572,3.0,-0.39486288400000014,2.571514011773223
2014-05-01,4.0,0.0,0.0,-1.0,5.21840091019425,3.1,-0.21699272299999972,2.4592847362288226
2014-06-01,4.0,-1.0,0.0,-1.0,4.695446626753708,3.0,0.25729121799999977,1.0638752358682302
2014-07-01,3.875,-1.0,-1.0,-1.0,4.591064326132943,3.0,0.7109698259999995,0.5648724423269487
2014-08-01,3.625,-1.0,-1.0,-1.0,4.695446623604252,3.0,0.977515167,1.0905447259298156
2014-09-01,3.3625,-1.0,-1.0,-1.0,5.007970347526746,3.2,0.9000532350000006,1.3191687501040474
2014-10-01,3.136363636,-1.0,-1.0,0.0,5.952097947187026,3.3,0.6110058299999999,1.70847739561561
2014-11-01,3.0,0.0,-1.0,0.0,5.529978037905161,3.1,0.3500311270000003,0.992843640899783
2014-12-01,3.0,0.0,0.0,0.0,4.480972300395273,2.7,0.4238648500000002,2.531354996370619
2015-01-01,3.0,0.0,0.0,0.0,4.3766998671455655,2.7,-0.004775335999999797,3.036053916228655
2015-02-01,3.0,0.0,0.0,0.0,4.272842467571081,3.0,0.030567640999999313,1.9565081499511405
2015-03-01,3.0,0.0,0.0,0.0,4.065951899183263,3.0,-0.26753974499999966,1.368368216652329
2015-04-01,3.0,0.0,0.0,0.0,4.065951895765576,3.2,0.21169432900000018,2.207386693494713
2015-05-01,3.0,0.0,0.0,0.0,3.9621972143790902,3.1,0.4272659359999995,1.801465698989192
2015-06-01,3.0,0.0,0.0,0.0,4.377630565597861,3.0,0.15239215400000017,2.804136902465538
2015-07-01,3.0,0.0,0.0,0.0,4.585969156123091,3.2,0.09748430700000021,2.655851891127446
2015-08-01,3.0,0.0,0.0,1.0,5.003061743733615,3.5,-0.2679750570000001,1.3727621772130774
2015-09-01,3.0,1.0,0.0,1.0,4.690552634490682,3.7,-0.21655021100000038,2.8452162228811075
2015-10-01,3.130952381,1.0,1.0,1.0,4.068628565922795,3.5,-0.11843129699999988,1.936292958760777
2015-11-01,3.25,1.0,1.0,1.0,4.068628565922795,3.5,-0.040045243000000674,2.0553007523873545
2015-12-01,3.35,1.0,1.0,0.0,4.486574856796127,3.5,-0.3351776040000001,1.7023320895788772
2016-01-01,3.5,0.0,1.0,0.0,4.9041036310241575,3.5,-0.3092552770000001,1.999743659092765
2016-02-01,3.5,0.0,0.0,0.0,4.799617461683795,3.4,-0.169099267,2.8195797617896026
2016-03-01,3.5,0.0,0.0,0.0,4.591268324437229,3.3,0.26163466099999955,2.6837542510705332
2016-04-01,3.5,0.0,0.0,0.0,4.279365938809586,3.3,0.24937430199999966,0.6918605031186057
2016-05-01,3.5,0.0,0.0,0.0,4.2793659412239204,3.2,0.27568322700000003,0.9683432707575694
2016-06-01,3.5,0.0,0.0,0.0,4.175605376021169,3.2,0.34779616799999946,1.268424335216401
2016-07-01,3.5,0.0,0.0,0.0,3.9680842473683233,3.1,0.5755101360000001,1.7780917263010902
2016-08-01,3.5,0.0,0.0,0.0,3.2453666865289006,3.0,0.5119297210000004,2.6900678613688758
2016-09-01,3.5,0.0,0.0,0.0,2.937171560615799,3.0,0.4867201630000002,1.54794000661976
2016-10-01,3.5,0.0,0.0,0.0,2.732117430243453,3.0,0.23558723699999984,0.8305548441554894
2016-11-01,3.5,0.0,0.0,-1.0,2.834849549353293,3.0,0.22856035499999994,1.3116384548832805
2016-12-01,3.5,-1.0,0.0,-1.0,2.6291798464701563,2.9,0.32999351499999996,1.2343698624218207
2017-01-01,3.404761905,-1.0,-1.0,-1.0,2.62917984806101,2.9,0.45193413899999957,0.0965616536889042
2017-02-01,3.25,-1.0,-1.0,-1.0,2.526857641532865,2.9,0.7251854930000006,-0.943512001258453
2017-03-01,3.130434783,-1.0,-1.0,-1.0,2.5268576448329747,3.0,0.5497298860000006,-0.7574790345703467
2017-04-01,2.875,-1.0,-1.0,-1.0,2.424637447920657,2.9,0.47276218500000056,0.9290637760362023
2017-05-01,2.647727273,-1.0,-1.0,0.0,2.32241723409212,2.9,0.2991526700000007,1.2553156313413485
2017-06-01,2.5,0.0,-1.0,0.0,1.507099177137,2.9,0.29449912400000056,1.2351447956588026
2017-07-01,2.5,0.0,0.0,0.0,1.5070991798782605,2.7,-0.05033775600000023,2.085473531701292
2017-08-01,2.5,0.0,0.0,0.0,1.7101133781756923,2.7,-0.16283775600000006,2.454703171438214
2017-09-01,2.5,0.0,0.0,0.0,1.304084983427854,2.7,-0.035422899000000285,2.715667903130838
2017-10-01,2.5,0.0,0.0,0.0,1.7084925020479929,2.5,0.30387120000000056,3.1247633311114065
2017-11-01,2.5,0.0,0.0,0.0,1.7084925085223017,2.5,0.3005356070000005,3.4771686110465745
2017-12-01,2.5,0.0,0.0,0.0,2.0142294605843425,2.7,0.31224048300000007,3.304938657248884
2018-01-01,2.5,0.0,0.0,0.0,2.0142294561355434,2.6,0.4560673200000007,4.224106833146601
2018-02-01,2.5,0.0,0.0,0.0,1.9134680179876382,2.6,0.2387046159999997,4.944745891370813
2018-03-01,2.5,0.0,0.0,0.0,1.7123382170110315,2.6,0.3358586309999998,6.098654429589014
2018-04-01,2.5,0.0,0.0,0.0,1.7853823939419051,2.7,-0.08418402400000069,5.471465805566813
2018-05-01,2.5,0.0,0.0,0.0,1.9492713969736133,2.8,0.05510170399999925,5.37971827186723
2018-06-01,2.5,0.0,0.0,0.0,2.4510044177408523,2.9,0.20119513499999986,4.495585908142391
2018-07-01,2.5,0.0,0.0,0.0,2.5740277477256135,3.0,0.6366799670000001,3.649185010544884
2018-08-01,2.5,0.0,0.0,1.0,2.4612192834512725,3.0,0.8114764369999996,2.2956366470764413
2018-09-01,2.5,1.0,0.0,1.0,2.871250927279654,3.0,0.47499353799999966,2.3239259561405246
2018-10-01,2.602272727,1.0,1.0,0.0,2.6646600511082386,3.0,0.42720943499999997,3.326380163644639
2018-11-01,2.75,0.0,1.0,1.0,2.47062446546417,3.0,0.6072087799999997,3.78007366828076
2018-12-01,2.75,1.0,0.0,1.0,2.185492017608843,2.9,0.633810102,2.5406535999107764
2019-01-01,2.761363636,1.0,1.0,0.0,1.7882400484946412,2.8,0.3041347269999992,2.296500312271395
2019-02-01,3.0,0.0,1.0,0.0,1.7258780783205572,2.8,0.0242246960000001,1.1750057934134188
2019-03-01,3.0,0.0,0.0,0.0,2.0044319097501964,2.8,-0.13980834100000017,1.7960689326598631
2019-04-01,3.0,0.0,0.0,-1.0,1.9989954796584724,2.8,0.10254379200000052,2.170974762198727
2019-05-01,3.0,-1.0,0.0,-1.0,2.3444544634806164,2.9,-0.14916629499999967,1.596545328370432
